A	name	content	reimu	marisa	hakurei_true	reimu_ani ani 1=n 2=maji 3=h 4=men	marisa_ani 1=n 2=h 3=eye 4=itai 5=sur 6=an 7=eee	end	choice
1	A	(운좋게 빠져나온 것 같다...)							
2	마리사	그래서, 이제 어디로 갈꺼야?		1			7		
3	레이무	나는 유유코가 있는 방향으로 가는게 맞다고 보는데?	1			1			
4	마리사	이참에 유카리를 쫓아보는 건 어떤데?					1		
5	A	유유코? 유카리? 그게 누군데?							
6	마리사	한명은 명계의 주인이고, 한명은 너를 이곳에 가져온 별종이야					2		
7	레이무	애초에 유카리가 어디있을 줄 알고?				4			
8	마리사	그 이상한 숲에 있지 않겠어?					3		
9	마리사	자기가 가져온거니, 바로 해결할 수 있을 것 같은데?					2		
10	레이무	쯧, 방랑자 너가 선택해, 명계와 이상한 녀석, 뭐가 더 나아?				2			
11	A	이걸 내가 선택해도 되는 건가?							1
12		end							
13									
14									
15									
16									
